Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device
Standard,13,2023 Feb 03,Italy,49,Female,Smartphone
Premium,11,2022 Oct 03,United States,39,Male,Tablet
Basic,14,2022 Jan 05,Canada,39,Male,Smart TV
Standard,12,2022 Feb 05,United Kingdom,35,Male,Smartphone
Premium,12,2022 Mar 19,Australia,44,Male,Smartphone
Basic,11,2022 Feb 28,Germany,34,Male,Laptop
Premium,14,2022 Jul 26,France,32,Male,Laptop
Basic,10,2022 Mar 05,Brazil,29,Female,Tablet
Standard,13,2022 Mar 07,Mexico,31,Female,Tablet
Standard,12,2023 Jan 13,Spain,29,Female,Tablet
Basic,12,2023 Jan 22,Italy,35,Male,Laptop
Premium,11,2022 Oct 17,United States,46,Female,Tablet
Basic,12,2022 Mar 29,Canada,31,Male,Tablet
Standard,13,2022 Apr 04,United Kingdom,36,Male,Laptop
Premium,10,2022 Jun 08,Australia,38,Male,Laptop
Basic,11,2022 Mar 04,Germany,46,Female,Laptop
Premium,10,2022 Mar 18,France,49,Female,Tablet
Basic,14,2022 Mar 07,Brazil,29,Female,Smart TV
Standard,12,2022 May 24,Mexico,27,Female,Smart TV
Standard,13,2023 Feb 08,Spain,35,Female,Tablet
Basic,13,2023 Jan 26,Italy,37,Female,Laptop
Premium,14,2022 Jul 14,United States,40,Male,Tablet
Basic,10,2022 Jun 01,Canada,33,Female,Laptop
Standard,15,2022 May 07,United Kingdom,37,Male,Tablet
Premium,10,2022 Nov 18,Australia,48,Male,Smartphone
Basic,11,2022 Apr 05,Germany,50,Female,Laptop
Premium,14,2022 May 19,France,45,Female,Smart TV
Basic,15,2021 Oct 30,Brazil,40,Female,Tablet
Standard,12,2022 Aug 07,Mexico,33,Male,Smartphone
Standard,11,2022 Sep 20,Spain,44,Female,Smartphone
Basic,10,2022 Oct 18,Italy,30,Female,Smart TV
Premium,15,2022 Oct 03,United States,27,Male,Smart TV
Basic,11,2022 May 03,Canada,51,Male,Smart TV
Standard,13,2022 May 25,United Kingdom,49,Female,Smartphone
Premium,15,2022 Nov 05,Australia,43,Male,Laptop
Basic,12,2022 Aug 21,Germany,42,Male,Smartphone
Premium,13,2022 Sep 21,France,45,Male,Laptop
Basic,10,2021 Nov 23,Brazil,36,Male,Smartphone
Standard,12,2022 Oct 06,Mexico,48,Male,Smartphone
Standard,13,2022 Nov 05,Spain,38,Male,Smart TV
Basic,14,2023 Jan 07,Italy,43,Female,Tablet
Premium,15,2022 Oct 06,United States,47,Male,Laptop
Basic,15,2022 Jun 24,Canada,48,Female,Smart TV
Standard,13,2022 Jun 24,United Kingdom,47,Male,Smart TV
Premium,15,2022 Nov 05,Australia,32,Male,Tablet
Basic,13,2022 Jul 18,Germany,47,Female,Smart TV
Premium,12,2022 Sep 13,France,41,Female,Smart TV
Basic,12,2022 Aug 10,Brazil,49,Male,Laptop
Standard,15,2022 Sep 21,Mexico,28,Male,Laptop
Standard,13,2023 Mar 24,Spain,40,Male,Smartphone
Basic,12,2022 May 02,Italy,43,Female,Smartphone
Premium,12,2022 May 11,United States,42,Male,Smartphone
Basic,14,2022 Jun 10,Canada,28,Male,Smart TV
Standard,14,2022 Aug 31,United Kingdom,30,Female,Tablet
Premium,10,2022 Aug 17,Australia,33,Male,Smart TV
Basic,11,2022 May 05,Germany,35,Female,Laptop
Basic,10,2022 Oct 06,France,38,Male,Tablet
Basic,12,2022 Nov 08,Brazil,49,Female,Laptop
Standard,15,2022 Nov 27,Mexico,39,Female,Smartphone
Premium,13,2022 Nov 17,Spain,46,Female,Smart TV
Basic,10,2022 Dec 15,Italy,47,Female,Laptop
Basic,15,2022 Dec 12,United States,30,Female,Laptop
Premium,14,2022 Nov 23,Canada,33,Female,Tablet
Standard,11,2022 Dec 25,United Kingdom,47,Male,Smartphone
Standard,11,2023 Mar 11,Australia,27,Male,Laptop
Basic,14,2022 Nov 18,Germany,28,Male,Tablet
Premium,15,2022 Aug 19,France,47,Male,Smartphone
Standard,14,2022 Sep 27,Brazil,30,Male,Laptop
Basic,13,2022 Oct 19,Mexico,47,Female,Smartphone
Standard,10,2022 Dec 21,Spain,51,Female,Smart TV
Premium,15,2022 Oct 27,Italy,39,Male,Smartphone
Basic,10,2022 Oct 23,United States,45,Male,Tablet
Premium,15,2022 Apr 19,Canada,31,Male,Laptop
Standard,11,2022 Apr 05,United Kingdom,29,Male,Laptop
Basic,11,2022 Mar 11,Australia,42,Female,Tablet
Standard,14,2022 May 25,Germany,49,Male,Tablet
Premium,13,2022 Apr 16,France,42,Male,Laptop
Basic,13,2022 Apr 07,Brazil,29,Male,Smartphone
Standard,10,2022 Dec 11,Mexico,29,Male,Tablet
Premium,12,2023 Jan 20,Spain,49,Male,Tablet
Basic,14,2023 Jan 12,Italy,32,Male,Laptop
Premium,11,2022 Apr 29,United States,35,Female,Tablet
Basic,12,2022 Apr 27,Canada,39,Female,Smartphone
Standard,15,2022 Jun 03,United Kingdom,40,Male,Smartphone
Standard,14,2022 Apr 23,Australia,39,Female,Tablet
Basic,10,2022 Apr 22,Germany,47,Female,Laptop
Premium,13,2022 Apr 12,France,37,Female,Smart TV
Basic,15,2022 May 23,Brazil,27,Female,Smartphone
Standard,13,2022 Oct 19,Mexico,49,Female,Laptop
Premium,10,2022 Dec 03,Spain,30,Female,Tablet
Basic,14,2022 Sep 26,Italy,36,Male,Laptop
Premium,15,2022 Jun 16,United States,33,Male,Smartphone
Basic,13,2022 May 16,Canada,30,Female,Laptop
Standard,15,2022 May 26,United Kingdom,36,Female,Tablet
Standard,13,2022 Apr 26,Australia,28,Female,Laptop
Basic,11,2022 May 12,Germany,47,Female,Tablet
Premium,12,2022 Mar 01,France,33,Female,Smart TV
Basic,13,2022 Jul 10,Brazil,49,Female,Laptop
Standard,15,2022 Jul 16,Mexico,44,Female,Smart TV
Premium,13,2022 Sep 02,Spain,47,Male,Smart TV
Basic,11,2022 Sep 18,Italy,37,Female,Tablet
Premium,10,2022 Jul 08,United States,46,Male,Laptop
Basic,14,2022 Jun 26,Canada,50,Female,Smartphone
Standard,11,2022 Aug 05,United Kingdom,50,Male,Laptop
Standard,14,2022 Aug 19,Australia,37,Male,Laptop
Basic,11,2022 Aug 26,Germany,50,Female,Smartphone
Premium,13,2022 Jun 09,France,45,Female,Smart TV
Basic,14,2022 Sep 27,Brazil,45,Male,Tablet
Standard,10,2022 Oct 18,Mexico,49,Female,Laptop
Premium,14,2022 Oct 31,Spain,39,Female,Tablet
Basic,11,2022 Oct 13,Italy,45,Female,Tablet
Premium,11,2022 Jul 04,United States,49,Female,Smart TV
Basic,12,2022 Jun 26,Canada,31,Female,Tablet
Standard,13,2022 Jul 31,United Kingdom,42,Female,Smart TV
Standard,12,2022 Jul 27,Australia,37,Male,Smartphone
Basic,12,2022 Jul 30,Germany,30,Male,Smart TV
Premium,11,2022 Aug 06,France,40,Male,Smartphone
Basic,15,2022 Sep 16,Brazil,45,Female,Smartphone
Standard,15,2023 Jan 05,Mexico,36,Female,Tablet
Premium,11,2022 Dec 10,Spain,41,Male,Laptop
Basic,14,2022 Nov 22,Italy,49,Female,Laptop
Premium,15,2022 Nov 15,United States,40,Male,Tablet
Basic,11,2022 Oct 28,Canada,36,Male,Smart TV
Standard,12,2022 Sep 08,United Kingdom,49,Female,Smart TV
Standard,13,2022 Jun 30,Australia,43,Female,Laptop
Basic,13,2022 Sep 02,Germany,50,Female,Smartphone
Premium,14,2022 Oct 08,France,51,Female,Smart TV
Basic,15,2022 Nov 13,Brazil,44,Male,Smart TV
Standard,12,2022 Nov 15,Mexico,27,Male,Tablet
Premium,12,2022 Nov 16,Spain,46,Female,Smartphone
Basic,12,2022 Nov 26,Italy,29,Male,Tablet
Basic,12,2022 Nov 26,United States,47,Male,Smartphone
Basic,10,2022 Dec 12,Canada,48,Female,Smartphone
Standard,12,2023 Jan 08,United Kingdom,34,Female,Smartphone
Premium,15,2022 Nov 27,Australia,40,Female,Smartphone
Basic,14,2022 Oct 11,Germany,48,Female,Smartphone
Basic,10,2022 Sep 27,France,35,Male,Smartphone
Premium,12,2022 Sep 30,Brazil,51,Female,Smartphone
Standard,10,2022 Nov 04,Mexico,39,Male,Smart TV
Standard,13,2022 Nov 04,Spain,29,Male,Smartphone
Basic,12,2022 Oct 30,Italy,51,Male,Laptop
Premium,11,2022 Oct 29,United States,43,Male,Smartphone
Standard,11,2022 Aug 30,Canada,28,Male,Smartphone
Basic,15,2022 Jul 07,United Kingdom,50,Female,Smart TV
Standard,14,2022 May 26,Australia,44,Female,Laptop
Premium,11,2022 May 17,Germany,50,Male,Laptop
Basic,11,2022 May 08,France,39,Female,Smartphone
Premium,13,2022 Jul 07,Brazil,46,Female,Tablet
Standard,15,2022 Jul 17,Mexico,48,Male,Smartphone
Basic,15,2022 Dec 23,Spain,38,Male,Smart TV
Standard,13,2022 Jun 27,Italy,38,Male,Smartphone
Premium,13,2022 May 31,United States,47,Male,Laptop
Basic,12,2022 Jun 02,Canada,37,Male,Laptop
Standard,11,2022 May 25,United Kingdom,33,Male,Laptop
Premium,15,2022 Apr 26,Australia,28,Male,Smartphone
Basic,13,2022 Apr 20,Germany,47,Male,Smart TV
Premium,11,2022 May 03,France,38,Female,Smartphone
Basic,12,2022 Jul 07,Brazil,27,Male,Smart TV
Standard,13,2022 Sep 15,Mexico,34,Male,Smartphone
Standard,14,2022 Sep 16,Spain,42,Female,Smartphone
Basic,14,2022 Aug 09,Italy,28,Male,Laptop
Premium,15,2022 Jun 25,United States,30,Male,Laptop
Basic,11,2022 May 30,Canada,38,Female,Smartphone
Standard,15,2022 May 21,United Kingdom,45,Female,Tablet
Premium,12,2022 May 20,Australia,48,Female,Smart TV
Basic,13,2022 May 20,Germany,46,Female,Smart TV
Premium,12,2022 May 30,France,34,Male,Tablet
Basic,13,2022 Jun 17,Brazil,46,Male,Laptop
Standard,11,2022 Jul 16,Mexico,41,Female,Smartphone
Standard,15,2022 Aug 05,Spain,28,Male,Smartphone
Basic,10,2022 Jul 17,Italy,27,Female,Smartphone
Premium,13,2022 Jul 04,United States,27,Female,Smart TV
Basic,12,2022 Jul 13,Canada,28,Female,Tablet
Standard,15,2022 Jul 25,United Kingdom,46,Male,Smartphone
Premium,10,2022 Aug 09,Australia,51,Male,Smartphone
Basic,11,2022 Aug 05,Germany,32,Female,Smart TV
Premium,10,2022 Aug 17,France,44,Male,Tablet
Basic,11,2022 Sep 08,Brazil,44,Female,Laptop
Standard,13,2022 Oct 16,Mexico,34,Female,Smart TV
Standard,13,2022 Oct 15,Spain,29,Female,Laptop
Basic,12,2022 Sep 04,Italy,47,Male,Smart TV
Premium,14,2022 Aug 20,United States,41,Male,Laptop
Basic,10,2022 Aug 10,Canada,36,Female,Smartphone
Standard,12,2022 Aug 02,United Kingdom,28,Female,Laptop
Premium,10,2022 Aug 01,Australia,27,Female,Tablet
Basic,15,2022 Aug 06,Germany,34,Female,Laptop
Premium,14,2022 Aug 09,France,34,Female,Smart TV
Basic,13,2022 Sep 12,Brazil,37,Female,Tablet
Standard,14,2022 Sep 27,Mexico,34,Female,Laptop
Standard,15,2022 Nov 12,Spain,50,Female,Laptop
Basic,12,2022 Nov 13,Italy,34,Female,Laptop
Premium,12,2022 Nov 02,United States,33,Female,Smart TV
Basic,11,2022 Oct 30,Canada,33,Male,Smart TV
Standard,15,2022 Jun 30,United Kingdom,46,Male,Smartphone
Premium,14,2022 Aug 04,Australia,39,Female,Smartphone
Basic,10,2022 Sep 01,Germany,42,Female,Laptop
Premium,14,2022 Oct 14,France,50,Female,Laptop
Basic,10,2022 Oct 16,Brazil,43,Male,Smartphone
Standard,14,2022 Oct 20,Mexico,51,Male,Smart TV
Standard,15,2022 Nov 20,Spain,34,Female,Smart TV
Basic,12,2022 Nov 25,Italy,48,Male,Smartphone
Premium,13,2022 Dec 04,United States,29,Female,Tablet
Basic,11,2022 Dec 12,Canada,43,Female,Laptop
Standard,14,2022 Dec 09,United Kingdom,39,Female,Laptop
Premium,10,2022 Oct 15,Australia,50,Male,Laptop
Basic,14,2022 Oct 03,Germany,45,Male,Laptop
Basic,12,2022 Oct 01,France,48,Female,Tablet
Basic,13,2022 Nov 02,Brazil,40,Male,Smartphone
Standard,14,2022 Nov 03,Mexico,41,Male,Tablet
Premium,10,2022 Oct 30,Spain,27,Male,Smartphone
Basic,11,2022 Oct 30,Italy,36,Male,Laptop
Basic,10,2022 Sep 27,United States,36,Female,Laptop
Premium,11,2022 Sep 14,Canada,44,Male,Tablet
Standard,12,2022 Jun 11,United Kingdom,45,Male,Tablet
Standard,12,2022 Jun 11,Australia,33,Female,Smartphone
Basic,13,2022 May 24,Germany,47,Male,Smart TV
Premium,13,2022 Jul 06,France,45,Male,Tablet
Standard,11,2022 Jul 08,Brazil,29,Female,Smart TV
Basic,13,2022 Oct 27,Mexico,31,Male,Smart TV
Standard,11,2022 Aug 09,Spain,31,Male,Smartphone
Premium,15,2022 Jun 14,Italy,49,Female,Smartphone
Basic,15,2022 Jun 07,United States,29,Female,Smartphone
Premium,12,2022 May 27,Canada,50,Male,Laptop
Standard,13,2022 May 27,United Kingdom,36,Female,Laptop
Basic,10,2022 Apr 21,Australia,28,Male,Laptop
Standard,15,2022 Apr 28,Germany,47,Female,Smart TV
Premium,12,2022 May 27,France,50,Female,Laptop
Basic,15,2022 Aug 25,Brazil,44,Female,Tablet
Standard,10,2022 Sep 02,Mexico,39,Female,Laptop
Premium,14,2022 Aug 22,Spain,32,Female,Smartphone
Basic,15,2022 Aug 02,Italy,30,Female,Laptop
Premium,12,2022 Jun 22,United States,33,Female,Smartphone
Basic,15,2022 Jun 04,Canada,44,Male,Smartphone
Standard,14,2022 May 31,United Kingdom,40,Male,Smartphone
Standard,15,2022 May 22,Australia,32,Male,Tablet
Basic,13,2022 May 29,Germany,32,Male,Tablet
Premium,11,2022 Jun 11,France,30,Male,Smartphone
Basic,12,2022 Jul 06,Brazil,32,Female,Smartphone
Standard,12,2022 Jul 26,Mexico,45,Female,Tablet
Premium,11,2022 Jul 22,Spain,35,Female,Smart TV
Basic,10,2022 Jul 06,Italy,40,Female,Smart TV
Premium,14,2022 Jul 08,United States,29,Female,Tablet
Basic,14,2022 Jul 22,Canada,31,Male,Tablet
Standard,15,2022 Jul 24,United Kingdom,43,Female,Smart TV
Standard,11,2022 Jul 28,Australia,34,Male,Smart TV
Basic,10,2022 Aug 11,Germany,47,Female,Tablet
Premium,12,2022 Sep 02,France,35,Male,Laptop
Basic,13,2022 Oct 11,Brazil,36,Male,Laptop
Standard,12,2022 Oct 15,Mexico,33,Male,Tablet
Premium,13,2022 Oct 05,Spain,30,Female,Laptop
Basic,14,2022 Sep 13,Italy,44,Female,Smartphone
Premium,13,2022 Aug 24,United States,44,Female,Laptop
Basic,11,2022 Aug 09,Canada,41,Female,Laptop
Standard,13,2022 Aug 06,United Kingdom,46,Male,Smart TV
Standard,13,2022 Aug 07,Australia,42,Female,Smartphone
Basic,10,2022 Aug 08,Germany,48,Female,Smart TV
Premium,15,2022 Aug 31,France,37,Male,Tablet
Basic,14,2022 Sep 21,Brazil,29,Male,Smartphone
Standard,14,2022 Oct 05,Mexico,30,Male,Smart TV
Premium,14,2022 Nov 02,Spain,28,Male,Smartphone
Basic,10,2022 Nov 02,Italy,44,Female,Smartphone
Premium,11,2022 Nov 02,United States,34,Female,Smart TV
Basic,10,2022 Sep 20,Canada,38,Male,Laptop
Standard,14,2022 Aug 10,United Kingdom,34,Female,Smartphone
Standard,10,2022 Aug 16,Australia,40,Female,Laptop
Basic,15,2022 Oct 12,Germany,32,Female,Tablet
Premium,11,2022 Oct 14,France,38,Male,Smart TV
Basic,15,2022 Oct 18,Brazil,39,Male,Smartphone
Standard,12,2022 Nov 11,Mexico,34,Female,Smart TV
Premium,11,2022 Nov 20,Spain,41,Male,Smartphone
Basic,15,2022 Nov 21,Italy,43,Female,Tablet
Premium,12,2022 Nov 25,United States,36,Female,Laptop
Basic,11,2022 Dec 08,Canada,31,Male,Laptop
Standard,12,2022 Nov 01,United Kingdom,47,Female,Smart TV
Standard,14,2022 Oct 12,Australia,48,Male,Smart TV
Basic,11,2022 Oct 13,Germany,36,Male,Laptop
Premium,12,2022 Oct 17,France,41,Male,Smart TV
Basic,13,2022 Oct 23,Brazil,32,Male,Laptop
Standard,13,2022 Oct 24,Mexico,28,Male,Smartphone
Premium,12,2022 Oct 25,Spain,46,Female,Smartphone
Basic,11,2022 Oct 22,Italy,46,Female,Smartphone
Basic,11,2022 Sep 30,United States,47,Male,Tablet
Basic,11,2022 Sep 06,Canada,31,Female,Tablet
Standard,10,2022 Jun 18,United Kingdom,44,Female,Tablet
Premium,10,2022 Jun 12,Australia,39,Female,Laptop
Basic,14,2022 Jun 17,Germany,44,Female,Laptop
Basic,12,2022 Jun 20,France,39,Female,Smartphone
Premium,12,2022 Aug 27,Brazil,37,Male,Laptop
Standard,14,2022 Aug 13,Mexico,47,Female,Laptop
Standard,10,2022 Aug 12,Spain,46,Female,Smart TV
Basic,15,2022 Aug 05,Italy,27,Female,Smart TV
Premium,10,2022 Jul 14,United States,43,Female,Laptop
Standard,10,2022 Jun 07,Canada,51,Male,Smart TV
Basic,10,2022 Jun 01,United Kingdom,49,Male,Smart TV
Standard,10,2022 May 19,Australia,35,Female,Smartphone
Premium,15,2022 May 22,Germany,44,Male,Smartphone
Basic,14,2022 Jul 11,France,48,Male,Tablet
Premium,11,2022 Jul 19,Brazil,39,Female,Tablet
Standard,12,2022 Jul 21,Mexico,38,Male,Laptop
Basic,14,2022 Aug 02,Spain,45,Male,Smart TV
Standard,13,2022 Jul 03,Italy,43,Female,Laptop
Premium,13,2022 Jun 23,United States,42,Male,Laptop
Basic,15,2022 Jun 03,Canada,28,Male,Smart TV
Standard,10,2022 Jun 03,United Kingdom,40,Male,Tablet
Premium,14,2022 May 30,Australia,41,Female,Tablet
Basic,12,2022 Jun 05,Germany,45,Female,Laptop
Premium,14,2022 Jun 10,France,30,Female,Smartphone
Basic,11,2022 Jul 14,Brazil,31,Female,Smartphone
Standard,13,2022 Jul 15,Mexico,51,Female,Tablet
Standard,12,2022 Jul 14,Spain,44,Female,Smartphone
Basic,14,2022 Jul 13,Italy,49,Male,Laptop
Premium,12,2022 Jul 17,United States,47,Female,Laptop
Basic,14,2022 Jul 21,Canada,42,Male,Smartphone
Standard,13,2022 Jul 23,United Kingdom,28,Male,Smartphone
Premium,13,2022 Aug 01,Australia,28,Male,Smartphone
Basic,13,2022 Aug 06,Germany,49,Female,Tablet
Premium,12,2022 Aug 19,France,32,Female,Smartphone
Basic,12,2022 Aug 26,Brazil,37,Female,Tablet
Standard,13,2022 Sep 27,Mexico,37,Female,Tablet
Standard,14,2022 Sep 15,Spain,37,Male,Smartphone
Basic,15,2022 Sep 02,Italy,37,Male,Smart TV
Premium,14,2022 Sep 03,United States,48,Female,Tablet
Basic,12,2022 Sep 03,Canada,47,Male,Laptop
Standard,13,2022 Aug 24,United Kingdom,41,Female,Smartphone
Premium,14,2022 Aug 21,Australia,47,Female,Laptop
Basic,13,2022 Aug 23,Germany,39,Female,Smartphone
Premium,10,2022 Sep 02,France,28,Male,Tablet
Basic,14,2022 Sep 21,Brazil,31,Male,Smart TV
Standard,14,2022 Oct 21,Mexico,47,Female,Smart TV
Standard,11,2022 Oct 30,Spain,27,Female,Laptop
Basic,10,2022 Nov 02,Italy,28,Male,Laptop
Premium,14,2022 Oct 16,United States,33,Male,Tablet
Basic,14,2022 Sep 15,Canada,29,Female,Tablet
Standard,15,2022 Sep 12,United Kingdom,41,Male,Smartphone
Premium,12,2022 Sep 18,Australia,28,Female,Tablet
Basic,13,2022 Oct 04,Germany,38,Male,Tablet
Premium,15,2022 Oct 05,France,35,Male,Laptop
Basic,11,2022 Nov 06,Brazil,51,Male,Smart TV
Standard,12,2022 Nov 17,Mexico,45,Male,Smartphone
Standard,14,2022 Nov 18,Spain,51,Male,Laptop
Basic,14,2022 Nov 22,Italy,46,Female,Smart TV
Premium,15,2022 Dec 04,United States,28,Male,Smart TV
Basic,12,2022 Nov 19,Canada,46,Female,Smart TV
Standard,11,2022 Nov 06,United Kingdom,46,Female,Smartphone
Premium,12,2022 Oct 15,Australia,32,Female,Laptop
Basic,11,2022 Oct 17,Germany,39,Female,Smart TV
Premium,11,2022 Oct 19,France,41,Female,Smartphone
Basic,13,2022 Oct 23,Brazil,47,Male,Smart TV
Standard,12,2022 Oct 24,Mexico,35,Male,Smart TV
Standard,12,2022 Oct 23,Spain,37,Female,Smart TV
Basic,11,2022 Oct 10,Italy,47,Male,Tablet
Premium,13,2022 Oct 05,United States,48,Female,Laptop
Basic,12,2022 Jul 01,Canada,30,Female,Laptop
Standard,10,2022 Jul 01,United Kingdom,36,Male,Smart TV
Premium,10,2022 Jun 25,Australia,50,Female,Smartphone
Basic,12,2022 Jun 24,Germany,41,Male,Tablet
Basic,14,2022 Jun 28,France,46,Female,Smartphone
Basic,15,2022 Aug 11,Brazil,36,Female,Laptop
Standard,14,2022 Aug 12,Mexico,48,Male,Tablet
Premium,10,2022 Aug 07,Spain,37,Female,Laptop
Basic,14,2022 Aug 06,Italy,49,Male,Laptop
Basic,12,2022 Jul 18,United States,31,Female,Laptop
Premium,12,2022 Jun 16,Canada,42,Female,Laptop
Standard,11,2022 May 30,United Kingdom,45,Female,Tablet
Standard,15,2022 May 28,Australia,51,Female,Tablet
Basic,11,2022 May 31,Germany,31,Female,Smart TV
Premium,14,2022 Jun 04,France,41,Male,Tablet
Standard,14,2022 Jun 29,Brazil,40,Male,Smart TV
Basic,10,2022 Jul 24,Mexico,27,Male,Tablet
Standard,10,2022 Jul 19,Spain,46,Female,Tablet
Premium,10,2022 Jun 30,Italy,30,Female,Smart TV
Basic,11,2022 Jun 16,United States,37,Male,Smart TV
Premium,15,2022 Jun 10,Canada,45,Male,Smartphone
Standard,11,2022 Jun 01,United Kingdom,40,Male,Smart TV
Basic,13,2022 Jun 03,Australia,45,Male,Laptop
Standard,11,2022 Jun 05,Germany,34,Male,Laptop
Premium,10,2022 Jun 07,France,33,Male,Laptop
Basic,10,2022 Jun 22,Brazil,47,Female,Laptop
Standard,11,2022 Jun 28,Mexico,32,Male,Smart TV
Premium,12,2022 Jun 29,Spain,41,Female,Tablet
Basic,15,2022 Jul 03,Italy,31,Female,Tablet
Premium,15,2022 Jul 08,United States,43,Male,Tablet
Basic,10,2022 Jul 13,Canada,32,Female,Tablet
